gameid,date,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason,month,day,year,city,nickname
SFN196005080,05/08/1960,skinb101,Bob Skinner,PIT,P,dascf901,Frank Dascoli,6,Called third strike,5,8,1960,Pittsburgh,Pirates
LAN196005100,05/10/1960,smith106,Hal Smith,PIT,P,craws901,Shag Crawford,9,Balls and strikes,5,10,1960,Pittsburgh,Pirates
SFN196005130,05/13/1960,larkn101,Norm Larker,LAN,P,donaa901,Augie Donatelli,8,Bench jockeying,5,13,1960,Los Angeles,Dodgers
SFN196005130,05/13/1960,sherl101,Larry Sherry,LAN,P,donaa901,Augie Donatelli,8,Balls and strikes (Tipped his cap),5,13,1960,Los Angeles,Dodgers
PHI196005160,05/16/1960,hemus101,Solly Hemus,SLN,M,boggd901,Dusty Boggess,8,Call at 1B,5,16,1960,St. Louis,Cardinals
SLN196005200,05/20/1960,hutcf101,Fred Hutchinson,CIN,M,varge901,Ed Vargo,6,Threw helmet onto the field,5,20,1960,Cincinnati,Reds
CLE196005220,05/22/1960,haleb101,Bob Hale,CLE,P,hurle901,Eddie Hurley,4,Balls and strikes,5,22,1960,Cleveland,Indians
CLE196005220,05/22/1960,gordj101,Joe Gordon,CLE,M,hurle901,Eddie Hurley,4,Balls and strikes,5,22,1960,Cleveland,Indians
CIN196005230,05/23/1960,robif103,Frank Robinson,CIN,P,varge901,Ed Vargo,8,Called third strike (Threw bat),5,23,1960,Cincinnati,Reds
PHI196005250,05/25/1960,maucg101,Gene Mauch,PHI,M,dascf901,Frank Dascoli,4,Call at HP,5,25,1960,Philadelphia,Phillies
WS1196005270,05/27/1960,runnp101,Pete Runnels,BOS,P,honoj901,Jim Honochick,5,Charging mound,5,27,1960,Boston,Red Sox
DET196005280,05/28/1960,tempj101,Johnny Temple,CLE,P,umonf901,Frank Umont,8,Bench jockeying,5,28,1960,Cleveland,Indians
PIT196005280,05/28/1960,maucg101,Gene Mauch,PHI,M,barla901,Al Barlick,11,Check swing,5,28,1960,Philadelphia,Phillies
NYA196005290,05/29/1960,whisp101,Pete Whisenant,WS1,P,papaj901,Joe Paparella,1,Bench jockeying,5,29,1960,Washington,Senators
CHA196005301,05/30/1960,pierj102,Jim Piersall,CLE,P,drumc901,Cal Drummond,3,Balls and strikes (Threw equipment),5,30,1960,Cleveland,Indians
PIT196005310,05/31/1960,nuxhj101,Joe Nuxhall,CIN,P,secof101,Frank Secory,10,Hit by pitch on swinging strike,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,dottd101,Dutch Dotterer,CIN,P,secof101,Frank Secory,11,Balls and strikes,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,mclic101,Cal McLish,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,henrb101,Bill Henry,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,grimb102,Bob Grim,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,newcd101,Don Newcombe,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,purkb101,Bob Purkey,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196005310,05/31/1960,lockw101,Whitey Lockman,CIN,P,secof101,Frank Secory,11,Bench jockeying,5,31,1960,Cincinnati,Reds
PIT196006010,06/01/1960,baile101,Ed Bailey,CIN,P,craws901,Shag Crawford,3,Balls and strikes,6,1,1960,Cincinnati,Reds
LAN196006030,06/03/1960,ashbr101,Richie Ashburn,CHN,P,jackb901,Bill Jackowski,8,Called third strike,6,3,1960,Chicago,Cubs
LAN196006040,06/04/1960,larkn101,Norm Larker,LAN,P,lands901,Stan Landes,3,Balls and strikes,6,4,1960,Los Angeles,Dodgers
LAN196006040,06/04/1960,avere102,Earl Averill,CHN,P,barla901,Al Barlick,6,Bench jockeying,6,4,1960,Chicago,Cubs
WS1196006050,06/05/1960,ramop101,Pedro Ramos,WS1,P,mckib901,Bill McKinley,4,Inspection of ball,6,5,1960,Washington,Senators
BOS196006070,06/07/1960,buddd101,Don Buddin,BOS,P,honoj901,Jim Honochick,4,Called third strike,6,7,1960,Boston,Red Sox
NYA196006070,06/07/1960,lopea102,Al Lopez,CHA,M,umonf901,Frank Umont,2,Catch/trap call,6,7,1960,Chicago,White Sox
LAN196006080,06/08/1960,bragb101,Bobby Bragan,LAN,C,venzt901,Tony Venzon,6,Bench jockeying,6,8,1960,Los Angeles,Dodgers
SLN196006080,06/08/1960,hemus101,Solly Hemus,SLN,M,boggd901,Dusty Boggess,9,Call at 1B,6,8,1960,St. Louis,Cardinals
BAL196006092,06/09/1960,dykej101,Jimmy Dykes,DET,M,runge901,Ed Runge,6,Double play non-call,6,9,1960,Detroit,Tigers
CHN196006090,06/09/1960,zimmd101,Don Zimmer,CHN,P,burkk101,Ken Burkhart,3,Call at 3B,6,9,1960,Chicago,Cubs
BOS196006100,06/10/1960,lopea102,Al Lopez,CHA,M,honoj901,Jim Honochick,1,Balls and strikes,6,10,1960,Chicago,White Sox
SFN196006110,06/11/1960,rignb101,Bill Rigney,SFN,M,pelec901,Chris Pelekoudas,7,Called third strike,6,11,1960,San Francisco,Giants
SFN196006110,06/11/1960,jones105,Sam Jones,SFN,P,pelec901,Chris Pelekoudas,7,Called third strike,6,11,1960,San Francisco,Giants
LAN196006120,06/12/1960,mcmir101,Roy McMillan,CIN,P,venzt901,Tony Venzon,2,Bench jockeying,6,12,1960,Cincinnati,Reds
WS1196006121,06/12/1960,kalia101,Al Kaline,DET,P,stewb902,Bob Stewart,3,Called third strike,6,12,1960,Detroit,Tigers
DET196006150,06/15/1960,colar101,Rocky Colavito,DET,P,hurle901,Eddie Hurley,7,Called third strike,6,15,1960,Detroit,Tigers
SFN196006150,06/15/1960,westw101,Wes Westrum,SFN,C,craws901,Shag Crawford,6,Call at 1B,6,15,1960,San Francisco,Giants
SFN196006150,06/15/1960,schmb101,Bob Schmidt,SFN,P,secof101,Frank Secory,7,Fair/foul,6,15,1960,San Francisco,Giants
LAN196006170,06/17/1960,vernm101,Mickey Vernon,PIT,C,burkk101,Ken Burkhart,7,Call at 1B,6,17,1960,Pittsburgh,Pirates
CLE196006191,06/19/1960,pierj102,Jim Piersall,CLE,P,stevj901,Johnny Stevens,6,Balls and strikes,6,19,1960,Cleveland,Indians
DET196006191,06/19/1960,courc101,Clint Courtney,BAL,P,hurle901,Eddie Hurley,9,Balls and strikes,6,19,1960,Baltimore,Orioles
MLN196006211,06/21/1960,scheb101,Bob Scheffing,MLN,C,jackb901,Bill Jackowski,5,Balk non-call,6,21,1960,Milwaukee,Braves
PHI196006212,06/21/1960,zimmd101,Don Zimmer,CHN,P,varge901,Ed Vargo,5,Fan interference call,6,21,1960,Chicago,Cubs
PIT196006210,06/21/1960,boyek101,Ken Boyer,SLN,P,craws901,Shag Crawford,8,Fair/foul call,6,21,1960,St. Louis,Cardinals
PIT196006240,06/24/1960,thomf103,Frank Thomas,CHN,P,boggd901,Dusty Boggess,7,Balls and strikes,6,24,1960,Chicago,Cubs
CHA196006250,06/25/1960,minom101,Minnie Minoso,CHA,P,ricej901,John Rice,7,Call at HP,6,25,1960,Chicago,White Sox
PIT196006250,06/25/1960,clemr101,Roberto Clemente,PIT,P,smitv101,Vinnie Smith,3,Call at 1B,6,25,1960,Pittsburgh,Pirates
CLE196006262,06/26/1960,pierj102,Jim Piersall,CLE,P,soarh901,Hank Soar,5,Call at 2B,6,26,1960,Cleveland,Indians
BAL196006270,06/27/1960,richp101,Paul Richards,BAL,M,papaj901,Joe Paparella,10,Fair/foul call,6,27,1960,Baltimore,Orioles
BAL196006290,06/29/1960,richp101,Paul Richards,BAL,M,smita901,Al Smith,9,Balls and strikes,6,29,1960,Baltimore,Orioles
PHI196006292,06/29/1960,willm102,Maury Wills,LAN,P,venzt901,Tony Venzon,4,Call at 1B,6,29,1960,Los Angeles,Dodgers
BOS196006300,06/30/1960,wilsr102,Red Wilson,DET,P,soarh901,Hank Soar,8,Interference non-call,6,30,1960,Detroit,Tigers
PIT196006302,06/30/1960,murtd101,Danny Murtaugh,PIT,M,burkk101,Ken Burkhart,2,Balls and strikes,6,30,1960,Pittsburgh,Pirates
CHN196007020,07/02/1960,dottd101,Dutch Dotterer,CIN,P,donaa901,Augie Donatelli,9,Called third strike,7,2,1960,Cincinnati,Reds
PIT196007020,07/02/1960,burgs101,Smoky Burgess,PIT,P,jackb901,Bill Jackowski,8,Call at HP,7,2,1960,Pittsburgh,Pirates
SLN196007020,07/02/1960,myatg102,George Myatt,MLN,C,dascf901,Frank Dascoli,2,Call at 2B,7,2,1960,Milwaukee,Braves
SLN196007020,07/02/1960,spana101,Al Spangler,MLN,P,dascf901,Frank Dascoli,2,Call at 2B,7,2,1960,Milwaukee,Braves
